Month,simple-java-mail,clustered-object-pool,email-rfc2822-validator,generic-object-pool,java-socks-proxy-server,java-utils-mail-dkim,java-utils-mail-smime,outlook-message-parser,rtf-to-html,simplejavamail.org,smtp-connection-pool,total-active-project-weeks
2018-02,2,0,0,0,0,0,0,0,0,2,0,4
2018-03,1,0,1,0,0,1,0,0,0,0,0,3
2018-04,3,0,0,0,0,0,0,0,0,0,0,3
2018-05,1,0,0,0,0,0,0,0,0,1,0,2
2018-06,3,0,0,0,0,0,0,0,0,2,0,5
2018-07,5,0,0,0,0,0,0,1,0,2,0,8
2018-08,4,0,0,0,0,0,0,1,0,0,0,5
2018-09,3,0,0,0,0,0,0,0,0,0,0,3
2018-10,3,0,0,0,0,1,0,1,0,0,0,5
2018-11,3,0,0,0,0,0,0,0,0,0,0,3
2018-12,4,0,1,0,0,0,0,0,0,3,0,8
2019-01,3,0,1,0,0,0,0,0,0,2,0,6
2019-02,3,0,0,0,0,0,0,0,0,1,0,4
2019-03,1,0,1,0,0,0,0,1,0,1,0,4
2019-04,4,0,0,0,0,0,1,3,0,2,0,10
2019-05,4,0,0,0,0,0,1,1,0,3,0,9
2019-06,3,0,2,2,0,1,0,0,0,1,3,12
2019-07,1,0,0,0,0,1,0,0,0,1,1,4
2019-08,4,0,0,0,0,0,0,0,0,2,1,7
2019-09,3,0,0,0,0,1,0,1,0,2,0,7
2019-10,4,0,0,2,0,3,0,3,3,2,2,19
2019-11,4,0,1,1,0,0,0,1,1,1,1,10
2019-12,4,0,1,0,1,2,0,1,0,2,0,11
2020-01,3,0,0,1,0,0,0,3,0,2,1,10
2020-02,3,0,0,0,0,1,0,0,0,0,0,4
2020-03,2,0,1,0,0,0,0,0,0,1,2,6
2020-04,0,0,0,0,0,0,0,0,0,1,0,1
2020-05,2,0,0,0,0,0,0,1,0,0,0,3
2020-06,2,0,2,0,1,0,0,1,0,0,0,6
2020-07,4,0,0,0,1,0,1,3,0,3,0,12
2020-08,1,0,1,0,0,1,0,1,0,0,0,4
2020-09,2,0,0,0,0,0,0,0,0,0,0,2
2020-10,1,0,0,0,1,0,0,1,0,0,0,3
2020-11,0,0,0,0,0,1,0,0,0,1,0,2
2020-12,0,0,0,0,0,0,0,0,0,1,0,1
2021-01,1,0,0,0,0,0,0,0,0,0,0,1
2021-02,2,0,1,0,0,1,0,1,0,3,0,8
2021-03,0,0,0,0,1,0,0,0,0,3,0,4
2021-04,2,0,0,0,1,0,0,0,0,1,0,4
2021-05,3,0,0,0,0,0,0,0,1,4,0,8
2021-06,3,0,0,0,0,0,1,2,0,0,2,8
2021-07,0,0,0,0,0,0,0,0,0,0,0,0
2021-08,0,0,0,0,0,0,0,0,0,0,0,0
2021-09,0,0,0,0,0,0,0,0,1,0,0,1
2021-10,1,0,0,0,0,0,0,0,0,0,0,1
2021-11,2,0,0,0,0,0,0,1,0,0,0,3
2021-12,2,1,0,1,1,1,1,0,0,1,1,9
2022-01,4,0,0,0,0,0,1,1,0,1,0,7
2022-02,1,0,0,0,0,0,0,0,0,0,0,1
2022-03,1,1,0,1,0,0,0,0,0,0,1,4
2022-04,0,0,0,0,0,0,0,0,0,1,0,1
2022-05,1,0,0,0,0,0,1,1,0,0,0,3
2022-06,0,0,0,0,0,0,0,0,0,0,0,0
2022-07,3,0,0,0,0,0,0,2,0,2,0,7
2022-08,1,0,0,0,0,0,0,0,0,0,0,1
2022-09,0,0,0,0,0,0,0,0,0,0,0,0
2022-10,0,0,0,0,0,0,0,0,0,0,0,0
2022-11,1,0,0,0,0,0,0,0,0,0,0,1
2022-12,2,0,0,0,0,0,0,0,0,0,0,2
2023-01,4,0,1,0,0,0,0,0,0,3,3,11
2023-02,3,0,0,0,0,0,0,0,0,2,0,5
2023-03,3,0,0,0,0,0,0,0,0,1,0,4
2023-04,2,0,0,0,0,0,1,0,0,1,0,4
2023-05,0,0,0,0,0,0,0,0,0,1,0,1
2023-06,2,0,0,0,0,0,1,0,0,0,0,3
2023-07,1,0,0,0,0,0,1,0,0,0,0,2
2023-08,0,0,0,0,0,0,0,0,0,1,0,1
2023-09,0,0,0,0,0,0,1,0,0,0,0,1
2023-10,2,0,0,0,0,0,1,1,0,1,0,5
2023-11,2,0,0,0,0,0,0,0,0,0,0,2
